
"requiredField";"يجب تعبئة هذا الحقل"
"invalidField";"الرجاء إدخال معلومات صحيحة"
"Root";"-- حساب رئيسي --"
"invalidLoginCredential";"نأسف، اسم المستخدم و|أو كلمة المرور غير صحيحة"
"Enter to Control Panel";"الدخول إلى لوحة التحكم"
"Username:";"اسم المستخدم"
"Password:";"كلمة المرور"
"Login";"دخول"
"Language:";"اللغة"
"aula_all rights reserved";" جميع الحقوق محفوظة "
"aula_site_woner";"aulaula.com"
"aula_copy_right";"&copy; 2012"
"successfully logged out";"تم تسجيل خروجك بنجاح"
"aula_Logout";"خروج"
"aula_welcome";"أهلاً وسهلاُ "
"Aula_Reset";"إلغاء"
"Aula_Save";"حفظ"
"Aula_Description";"الوصف"
"Media Streaming";"البث المباشر"
"Records successfully Deleted";"  تمت عملية الحذف بنجاح"
"Records successfully Approved";"تمت العملية بنجاح"
"Records successfully Published";"تمت العملية بنجاح"
"Yes";"<img src='/skin/backend/default/default/images/success.gif' alt='' title='' />"
"No";"<img src='/skin/backend/default/default/images/error.gif' alt='' title='' />"
"Yes Option";"نعم"
"No Option";"لا"
"Sorry, no records found";"نأسف لا يوجد سجلات / بيانات للعرض."
"Configuration Management";"إعدادات الموقع"
"Election Ticker";"بورصة المرشحين"
"Break News Ticker";"أخبار عاجلة"
"Quick Classifieds Ticker";"إعلانات مبوبة"
"Secrets";"خفايا وأسرار"
"next";"التالي"
"previous";"السابق"
"Next";"التالي"
"Previous";"السابق"
"viewing";"عدد مرات المشاهدة"
