
"Banners Management";"إدارة الإعلانات"﻿
"Banner_Banner Type";"نوع البانر"
"Banner_page";" صفحة "
"Banner_of";" من "
"Banner_Pages";" صفحة "
"Banner_View";" عرض "
"Banner_per page";" في كل صفحة "
"Banner_Total";" المجموع "
"Banner_records found";" سجلات "
"Banner_Reset Filter";"إلغاء"
"Banner_Search";"بحث"
"Banner_Title";"العنوان"
"Banner_Label";"الاسم المختصر"
"Banner_Show in Menu";"السماح بإدراجه في القوائم"
"Banner_Publish";"السماح بالنشر"
"Banner_Aprrove";"تم تدقيقه"
"Banner_Last Modified";"أحدث تعديل"
"Banner_Tools";"أدوات"
"Banner_Previous";"السابق"
"Banner_Next";"التالي"
"Banner_Banner";"بانر"
"Banner_Add New Banner";"إضافة بانر جديد"
"Banner_Banners";"البانرات"
"Banner_Page Title";"عنوان الصفحة"
"Banner_Information";"خيارات عامة"
"Banner_Advanced";"خيارات متقدمة"
"Banner_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Banner_Save";"حفظ"
"Banner_Reset";"إلغاء"
"Banner_Back";"الرجوع"
"Banner_Information";"خيارات عامة"
"Banner_Description";"الوصف"
"Banner_Published";"تم تشره"
"Banner_Approved";"تم تدقيقه"
"Banner_Order";"الترتيب"
"Banner_At the beginning of the list";"في بداية القائمة"
"Banner_After";"بعد"
"Banner_Advanced Settings";"خيارات متقدمة"
"Banner_Comments";"تعليقات"
"Banner_Options";"خيارات"
"Banner_Meta Data";"Meta Data"
"Banner_Meta";"Meta Data"
"Banner_Meta Title";"Meta Title"
"Banner_Add New Banner";"إضافة تصنيف جديد"
"Banner_Description";"وصف"
"Banner_Parent";"تابع لـ"
"Banner_Advanced Settings";"خيارات متقدمة"
"Banner_Publish From";"ينشر من تاريخ "
"Banner_Publish To";"ينشر حتى تاريخ"
"Banner_Comments";"ملاحظات"
"Banner_Options";"خيارات أخرى"
"Banner_Delete";"حذف"
"Banner_Show In Menu";"السماح بإدارجه في القوائم"
"Banner_Approve";"تم تدقيقه"
"Banner_Meta Title";"Meta Title"
"Banner_Catagory Type";"نوع تصنيف"
"Banner_Date Added";"تاريخ الإضافة"
"Banner_Area";"المنطقة"
"Banner_Link";"الرابط"
"Banner_Object";"الكود"
"image file";"تحميل صورة"
"image url";"رابط صورة"
"swf file";"تحميل فلاش"
"swf object";"كود فلاش"
"javascript code";"كود جافاسكريبت"
"Banner_Add New Area";"إضافة منطقة جديدة"
"Banner_Type";"نوع البانر"
