
"Categories Management";"إدارة التصنيفات"﻿
"Category_Category Type";"نوع التصنيف"
"Category_Add New Category Type";"إضافة تصنيف جديد"
"Category_page";" صفحة "
"Category_of";" من "
"Category_Pages";" صفحة "
"Category_View";" عرض "
"Category_per page";" في كل صفحة "
"Category_Total";" المجموع "
"Category_records found";" سجلات "
"Category_Reset Filter";"إلغاء"
"Category_Search";"بحث"
"Category_Title";"العنوان"
"Category_Label";"الاسم المختصر"
"Category_Show in Menu";"السماح بإدراجه في القوائم"
"Category_Publish";"السماح بالنشر"
"Category_Aprrove";"تم تدقيقه"
"Category_Last Modified";"أحدث تعديل"
"Category_Tools";"أدوات"
"Category_Previous";"السابق"
"Category_Next";"التالي"
"Category_Category";"تصنيف"
"Category_Add New Category";"إضافة تصنيف جديد"
"Category_Page Title";"عنوان الصفحة"
"Category_Information";"خيارات عامة"
"Category_Advanced";"خيارات متقدمة"
"Category_Add New Category Type";"إضافة نوع تصنيف"
"Category_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Category_Save";"حفظ"
"Category_Reset";"إلغاء"
"Category_Back";"الرجوع"
"Category_Information";"خيارات عامة"
"Category_Description";"الوصف"
"Category_Published";"تم تشره"
"Category_Approved";"تم تدقيقه"
"Category_Order";"الترتيب"
"Category_At the beginning of the list";"في بداية القائمة"
"Category_After";"بعد"
"Category_Advanced Settings";"خيارات متقدمة"
"Category_Comments";"تعليقات"
"Category_Options";"خيارات"
"Category_Category";"تصنيف"
"Category_Meta Data";"Meta Data"
"Category_Meta";"Meta Data"
"Category_Meta Title";"Meta Title"
"Category_Add New Category";"إضافة تصنيف جديد"
"Category_Description";"وصف"
"Category_Type";"نوع التصنيف"
"Category_Parent";"تابع لـ"
"Category_Advanced Settings";"خيارات متقدمة"
"Category_Publish From";"ينشر من تاريخ "
"Category_Publish To";"ينشر حتى تاريخ"
"Category_Comments";"ملاحظات"
"Category_Options";"خيارات أخرى"
"Category_Delete";"حذف"
"Category_Show In Menu";"السماح بإدارجه في القوائم"
"Category_Approve";"تم تدقيقه"
"Category_Meta Title";"Meta Title"
"Category_Catagory Type";"نوع تصنيف"
"Category_Date Added";"تاريخ الإضافة"
