
"Locale_Locale";"اللغات"
"Locale_Add New Locale";"إضافة لغة جديدة"
"Locale_page";"صفحة"
"Locale_of";" من "
"Locale_Pages";" صفحة "
"Locale_View";" عرض "
"Locale_per page";" في كل صفحة "
"Locale_Total";" المجموع "
"Locale_records found";" سجلات "
"Locale_Reset Filter";"إلغاء"
"Locale_Search";"البحث"
"Locale_Title";"العنوان"
"Locale_Locale Title";"اختصار اللغة"
"Locale_Show In Menu";"السماح بإدراجه في القوائم"
"Locale_Publish";"السماح بالنشر"
"Locale_Aprrove";"تم تدقيقه"
"Locale_Last Modified";"أحدث تعديل"
"Locale_Tools";"أدوات"
"Locale_Previous";"السابق"
"Locale_Next";"التالي"
"Locale_Information";"خيارات عامة"
"Locale_Advanced";"خيارات متقدمة"
"Locale_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Locale_Add New Locale";"إضافة لغة جديدة"
"Locale_Save";"حفظ"
"Locale_Reset";"إلغاء"
"Locale_Back";"الرجوع"
"Locale_Published";"تم نشره"
"Locale_Approved";"تم تدقيقه"
"Locale_At the beginning of the list";"في بداية القائمة"
"Locale_After";"بعد"
"Locale_Advanced Settings";"خيارات متقدمة"
"Locale_Comments";"ملاحظات"
"Locale_Order";"الترتيب"
