
"Menu_Menu Type";"نوع القائمة"
"Menu_Add New Menu Type";"إضافة نوع قائمة جديد"
"Menu_page";" صفحة "
"Menu_Pages";" صفحة "
"Menu_View";" عرض "
"Menu_per page";" في كل صفحة "
"Menu_records found";" سجلات "
"Menu_Reset Filter";"إلغاء"
"Menu_Search";"البحث"
"Menu_Title";"العنوان"
"Menu_Label";"الاسم المختصر"
"Menu_Show In Menu";"السماح بإدراجه في القوائم"
"Menu_Publish";"السماح بالنشر"
"Menu_Aprrove";"تم تدقيقه"
"Menu_Last Modified";"أحدث تعديل"
"Menu_Tools";"أدوات"
"Menu_Previous";"السابق"
"Menu_Next";"التالي"
"Menu_Menu";"القائمة"
"Menu_Add New Menu";"أضف قائمة جديدة"
"Menu_page";" صفحة "
"Menu_of";" من "
"Menu_Pages";" صفحة "
"Menu_View";" عرض "
"Menu_per page";" في كل صفحة "
"Menu_Total";" المجموع "
"Menu_records found";" سجلات "
"Menu_Reset Filter";"إلغاء"
"Menu_Search";"البحث"
"Menu_Label";"الاسم المختصر"
"Menu_Link";"الرابط"
"Menu_Show In Menu";"السماح بإدراجه في القوائم"
"Menu_Publish";"السماح بالنشر"
"Menu_Information";"خيارات عامة"
"Menu_Advanced";"خيارات متقدمة"
"Menu_Add New Menu Type";"أضف نوع قوائم جديد"
"Menu_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Menu_Save";"حفظ"
"Menu_Reset";"إلغاء"
"Menu_Back";"الرجوع"
"Menu_Title";"العنوان"
"Menu_Description";"الوصف"
"Menu_Published";"تم نشره"
"Menu_Approved";"تم تدقيقه"
"Menu_Order";"الترتيب"
"Menu_At the beginning of the list";"في بداية القائمة"
"Menu_After";"بعد"
"Menu_Advanced Settings";"خيارات متقدمة"
"Menu_Comments";"ملاحظات"
"Menu_Options";"خيارات أخرى"
"Menu_Menu";"قائمة"
"Menu_Advanced";"خيارات متقدمة"
"Menu_Add New Menu";"إضافة قائمة جديدة"
"Menu_Link";"رابط"
"Menu_Type";"نوع القائمة"
"Menu_Parent";"Parent"
"Menu_SubLevel";"SubLevel"
"Menu_Advanced Settings";"خيارات متقدمة"
"Menu_Publish From";"النشر من"
"Menu_Publish To";"النشر إلى"
"Menu_Delete";"حذف"
"Menu_Approve";"تم تدقيقه"
"Menu_Date Added";"تاريخ الإضافة"
