"Object_Object";"الموضوعات"
"Object_Add New Object";"إضافة موضوع جديد"
"Object_Add New Photo";"إضافة صورة جديد"
"Object_Add New Video";"إضافة فيديو جديد"
"Object_Add New File";"تحميل ملف"
"Object_Add New Static Page";"إضافة صفحة جديدة"
"Object_Add New Directory";"إضافة مجلد جديد"
"Object_Add New Url";"إضافة رابط جديد"
"Object_Add New Source";"إضافة مصدر جديد"
"Object_Sources";"المصادر"
"Object_page";" صفحة "
"Object_of";" من "
"Object_Pages";" صفحة "
"Object_per page";" في كل صفحة "
"Object_View";" عرض "
"Object_Next";" التالي "
"Object_records found";" سجلات "
"Object_Reset Filter";"إعادة تعيين"
"Object_Title";"العنوان"
"Object_Name";"الاسم"
"Object_Label";"الاسم المختصر"
"Object_Show In Menu";"السماح بإدراجه في القوائم"
"Object_Publish";"السماح بالنشر"
"Object_Last Modified";"أحدث تعديل"
"Object_Tools";"أدوات"
"Object_Previous";"السابق"
"Object_Next";"التالي"
"Object_Object Type";"نوع الموضوع"
"Object_Add New Object Type";"إضافة نوع موضوع جديد"
"Object_Total";" المجموع "
"Object_Title";"العنوان"
"Object_Object Type";"نوع الموضوع"
"Object_Label";"الاسم المختصر"
"Object_Information";"خيارات عامة"
"Object_Advanced";"خيارات متقدمة"
"Object_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Object_Save";"حفظ "
"Object_Reset";"إلغاء"
"Object_Back";"الرجوع"
"Object_Description";"وصف"
"Object_Order";"الترتيب"
"Object_At the beginning of the list";"في بداية القائمة"
"Object_After";"بعد"
"Object_Catagory";"التصنيف"
"Articles Management";"إدارة المقالات"
"Feature Management";"المقالات المهمة"
"Pages Management";"إدارة صفحات الموقع"
"Photos Management";"إدارة الصور"
"Special Comments Management";"تعليقات المقالات الرياضية والفنية.."
"Sport Entertainment Comments Management";"تعليقات المقالات الخاصة"
"Local Internationl Political Comments Management";"تعليقات المقالات المحلية والدولية.."
"Add New Article";"إضافة مقالة"
"All Comments";"جميع التعليقات"
"Send Article";"أرسل خبراً"
"Send News";"أرسل مقالاً"
"Talasem";"طلاسم"
"Object_Article";"مقال"
"Object_Add New Article";"إضافة مقال جديد"
"Object_Photo";"صورة"
"Object_Photo Title";"عنوان الصورة"
"Object_Video";"فيديو"
"Object_Photo";"تحميل صورة"
"Object_Video";"تحميل فيديو"
"Object_Video YouTube";"إضافة فيديو من YouTube"
"Object_Source";"مصدر"
"Object_URL";"رابط"
"Object_Static Pages";"صفحات الموقع"
"Object_Tag";"سمة"
"Object_Abuse Type";"نوع سوء الاستخدام"
"Object_Folders";"مجلدات"
"Object_Files";"ملفات"
"Object_Advanced";"خيارات متقدمة"
"Object_Design";"تصميم"
"Object_Add New Object";"إضافة موضوع جديد"
"Object_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Object_Save";"حفظ"
"Object_Reset";"إلغاء"
"Object_Back";"الرجوع"
"Object_Page Information";"خيارات الصفحة"
"Object_Title";"العنوان"
"Object_Alias";"العنوان البديل"
"Object_Intro Text";"نبذة"
"Object_Full Text";"النص"
"Object_Source";"المصدر"
"Object_Created Date";"تاريخ النشر"
"Object_Publish From";"النشر من"
"Object_Publish To";"النشر إلى"
"Object_Taken Date";"تاريخ التصوير"
"Object_Taken Location";"مكان التصوير"
"Object_Upload";"تحميل"
"Object_Encoded";"نوع التشفير
"Object_Description";"وصف"
"Object_URL";"رابط"
"Object_Urls";"الروابط"
"Object_Locale";"اللغة"
"Object_Country";"الدولة"
"Object_Time Delay";"Time Delay"
"Object_Styel";"Styel"
"Object_URL Type";"نوع الرابط"
"Object_Category";"تصنيف"
"Object_Page Title";"عنوان الصفحة"
"Object_Original Author";"الكاتب / المؤلف"
"Object_Show in List";"السماح بإدراجه في العرض"
"Object_Published";"تم نشره"
"Object_Approved";"تم تدقيقه"
"Object_Options";"خيارات أخرى"
"Object_Comments";"ملاحظات"
"Object_Meta Title";"Meta Title"
"Object_Meta Keywords";"Meta Keywords"
"Object_Meta Description";"Meta Description"
"Object_Meta Data";"Meta Data"
"Object_Layout";"Layout"
"Object_Template";"Template"
"Object_skin";"Skin"

"Object_Approve";"تم تدقيقه"
"Object_Show In Object";"السماح بإدراجه في المواضيع"
"Object_Delete";"حذف"

"Object_Search";"بحث"

"Object_Date Added";"تاريخ الإضافة"

"Object_Object";"المواضيع"

"Object_Email";"البريد الإلكتروني"

"Object_Content";"المحتوى"

"Object_Aprrove";"تم تدقيقه"

"Object_IsAbuse";"يصنف سوء استخدام"
"Object_Is_Abuse";"يصنف سوء استخدام"

"Object_Abuse";"سوء استخدام"
"Object_List";"الموضوع"
"Object_Webpage";"الموقع الإلكتروني"
"Object_Directory";"مجلد"
"Object_Parent";"المجلد الرئيسي"
"Object_IP";"عنوان الآي بي"
"Object_Author Name";"اسم المحرر"
"Object_Writer";"كاتب التعليق"
"Object_Article Title";"عنوان المقال"
"Object_Any";"الكل"
"Object_Yes";"نعم"
"Object_No";"لا"
"Object_From";"من"
"Object_To";"إلى"
"Object_Video YouTube";"فيديو من YouTube"
"Object_Subcategory";"تصنيف فرعي"
"Add New Article";"إضافة مقال"
"Please Select Author";"-- الرجاء اختيار الكاتب --"
"New Author";"-- إدخال كاتب جديد --"
"Object_Original Author Photo";"تحميل صورة الكاتب"
"Object_Original New Author";"اسم الكاتب الجديد"
"Object_Update article date";"تحديث تاريخ الإضافة"
"download";"عدد مرات التنزيل"
