
"Poll_Poll Type";"نوع التصنيف"
"Poll_page";" صفحة "
"Poll_of";" من "
"Poll_Pages";" صفحة "
"Poll_View";" عرض "
"Poll_per page";" في كل صفحة "
"Poll_Total";" المجموع "
"Poll_records found";" سجلات "
"Poll_Reset Filter";"إلغاء"
"Poll_Search";"بحث"
"Poll_Title";"العنوان"
"Poll_Label";"الاسم المختصر"
"Poll_Show in Menu";"السماح بإدراجه في القوائم"
"Poll_Publish";"السماح بالنشر"
"Poll_Aprrove";"تم تدقيقه"
"Poll_Last Modified";"أحدث تعديل"
"Poll_Tools";"أدوات"
"Poll_Previous";"السابق"
"Poll_Next";"التالي"
"Poll_Poll";"استطلاع"
"Poll_Add New Poll";"إضافة استطلاع جديد"
"Poll_Page Title";"عنوان الصفحة"
"Poll_Information";"خيارات عامة"
"Poll_Advanced";"خيارات متقدمة"
"Poll_Add New Poll Type";"إضافة نوع تصنيف"
"Poll_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Poll_Save";"حفظ"
"Poll_Reset";"إلغاء"
"Poll_Back";"الرجوع"
"Poll_Information";"خيارات عامة"
"Poll_Description";"الوصف"
"Poll_Published";"تم تشره"
"Poll_Approved";"تم تدقيقه"
"Poll_Order";"الترتيب"
"Poll_At the beginning of the list";"في بداية القائمة"
"Poll_After";"بعد"
"Poll_Advanced Settings";"خيارات متقدمة"
"Poll_Comments";"تعليقات"
"Poll_Options";"خيارات"
"Poll_Meta Data";"Meta Data"
"Poll_Meta";"Meta Data"
"Poll_Meta Title";"Meta Title"
"Poll_Description";"وصف"
"Poll_Parent";"تابع لـ"
"Poll_Advanced Settings";"خيارات متقدمة"
"Poll_Publish From";"ينشر من تاريخ "
"Poll_Publish To";"ينشر حتى تاريخ"
"Poll_Comments";"ملاحظات"
"Poll_Options";"خيارات أخرى"
"Poll_Delete";"حذف"
"Poll_Show In Menu";"السماح بإدارجه في القوائم"
"Poll_Approve";"تم تدقيقه"
"Poll_Meta Title";"Meta Title"
"Poll_Date Added";"تاريخ الإضافة"
"Poll_Answers";"الاختيارات"
"Poll_Answer";"الخيار"
"Poll_Votes count";"عدد المصوتين"
"Poll_Add New Answer";"أضف خيار جديد"
"Poll_Polls";"الاستطلاعات"
"Poll_Votes Count";"التصويت"
