"Tag_Tag";" سمات "
"Tag_Add New Tag";" إضافة سمة جديدة "
"Tag_page";" صفحة "
"Tag_of";" من "
"Tag_Pages";" صفحة "
"Tag_View";" عرض "
"Tag_per page";" في كل صفحة "
"Tag_Total";" المجموع "
"Tag_records found";" سجلات "
"Tag_Reset Filter";"إلغاء"
"Tag_Search";"بحث"
"Tag_Title";"العنوان"
"Tag_Locale";"اللغة"
"Tag_Publish";"السماح بالنشر"
"Tag_Aprrove";"تم تدقيقه"
"Tag_Last Modified";"أحدث تعديل"
"Tag_Tools";"Tools"
"Tag_Previous";"السابق
"Tag_Next";"التلي"
"Tag_Information";"خيارات عامة"
"Tag_Advanced";"خيارات متقدمة"
"Tag_Add New Tag";"إضافة سمة جديدة"
"Tag_Save And Continue Edit";"حفظ ومتابعة التحرير"
"Tag_Save";"حفظ"
"Tag_Reset";"إلغاء"
"Tag_Black List Tag";"سمة مشبوهة"
"Tag_Back";"الرجوع"
"Tag_Information";"خيارات عامة"
"Tag_Title";"العنوان"
"Tag_Published";"تم نشره"
"Tag_Approved";"تم تدقيقه"
"Tag_At the beginning of the list";"في بداية القائمة"
"Tag_After";"After"
"Tag_Advanced Settings";"خيارات متقدمة"
"Tag_Comments";"ملاحظات"
"Tag_Add New Black List Tag";"إضافة سمة مشبوهة"
"Tag_Black List";"السمات المشبوهة"
"Tag_Delete";"حذف"
"Tag_Tag";"سمة"
"Tag_Date Added";"تاريخ الإضافة"
"Tag_Approve";"تم تدقيقه"
