
"Users Management";"إدارة المستخدمين"﻿
"Writers";"كتاب سرايا"
"Customer Care Team";"فريق الدعم الفني"
"User_User";"مستخدم"
"User_Add New User";"إضافة مستخدم جديد"
"User_page";" صفحة "
"User_of";" من "
"User_Pages";" صفحة "
"User_View";" عرض "
"User_per page";" في كل صفحة "
"User_Total";" المجموع "
"User_records found";" سجلات "
"User_Reset Filter";"إلغاء"
"User_Search";"البحث"
"User_Lable";"الاسم المختصر"
"User_Translation";"الترجمة"
"User_Last Modified";"آخر تعديل"
"User_Previous";"السابق"
"User_Next";"التالي"
"User_Title";"العنوان"
"User_Locale";"اللغة"
"User_Advanced Settings";"خيارات متقدمة"
"User_Comments";"ملاحظات"
"User_Username";"اسم المستخدم"
"User_Password";"كلمة المرور"
"User_Confirm Password";"تأكيد كلمة المرور"
"User_Full Name";"الاسم الكامل"
"User_Email";"البريد الإلكتروني"
"User_User Level";"نوع المستخدم"
"User_Blocked";"حظر"
"User_Confirmed";"الاعتماد"
"User_Approved";"تم تدقيقه"
"User_Date of Birth";"تاريخ الميلاد"
"User_Registration Date";"تاريخ التسجيل"
"User_Company";"الشركة"
"User_Department";"القسم"
"User_Position";"الموقع الوظيفي"
"User_Home Phone";"هاتف المنزل"
"User_Work Phone";"هاتف العمل"
"User_Work Fax";"الفاكس"
"User_Mobile";"رقم الخلوي"
"User_Options";"خيارات أخرى"
"User_Information";"خيارات عامة"
"User_Advanced";"خيارات متقدمة"
"User_Comments";"ملاحظات
"User_Description";"وصف"
"User_Date Added";"تاريخ الإضافة"
"User_Tools";"أدوات"
"User_Label";"الاسم المختصر"
"User_Title";"العنوان"
"User_Delete";"حذف"
"User_Add New User Level";"إضافة نوع المستخدم"
"User_Add New User Level Permission";"إضافة صلاحيات المستخدم"
"User_Save And Continue Edit";"حفظ ومتابعة التحرير"
"User_Save";"حفظ"
"User_Reset";"إلغاء"
"User_Back";"الرجوع"
"User_Approve";"تم تدقيقه"
"User_Confirm";"اعتماد"
"User_Block";"حظر"
"User_Level";"نوع المستخدم"
"User_Class";"الأقسام"
"User_Action";"العمليات"
"User_Permission";"الصلاحيات"
"User_Comments";"ملاحظات"
"User_Description";"وصف"
"User_User Level Permission";"صلاحيات المستخدم"
"User_Add New User Level Permission";"صلاحيات المستخدم"
"User_Add New Uesr Level";"إضافة نوع مستخدم جديد"
