
"requiredField";"This is a required field"
"invalidField";"This is not a valid field"
"Root";"-- Root --"
"invalidLoginCredential";"Sorry, Username and/or passowrd is invalid, pleae try again."
"Enter to Control Panel";"Enter to Control Panel"
"Username:";"Username"
"Password";"Password"
"Login";"Login"
"Language:";"Language"
"aula_all rights reserved";"All rights reserved"
"aula_copy_right";"Sarayanews.com &copy; 1999-2010"
"aul@ula";"aul@ula.com"
"1999-2010";"1999-2010"
"successfully logged out";"You have been successfully logged out"
"aula_Logout";" Logout "
"aula_welcome";"Welcome "
"Aula_Reset";"Reset"
"Aula_Description";"Description"
"Aula_Save";"Save"

