"Locale_Locale";"Locale"
"Locale_Add New Locale";"Add New Locale"
"Locale_page";"page"
"Locale_of";"of"
"Locale_Pages";"Pages"
"Locale_View";"View"
"Locale_per page";"per page"
"Locale_Total";"Total"
"Locale_records found";"records found"
"Locale_Reset Filter";"Reset Filter"
"Locale_Search";"Search"
"Locale_Title";"Title"
"Locale_Locale Title";"Locale Title"
"Locale_Show In Menu";"Show In Menu"
"Locale_Publish";"Publish"
"Locale_Aprrove";"Aprrove"
"Locale_Last Modified";"Last Modified"
"Locale_Tools";"Tools"
"Locale_Previous";"Previous"
"Locale_Next";"Next"
"Locale_Information";"Information"
"Locale_Advanced";"Advanced"
"Locale_Save And Continue Edit";"Save And Continue Edit"
"Locale_Add New Locale";"Add New Locale"
"Locale_Save";"Save"
"Locale_Reset";"Reset"
"Locale_Back";"Back"
"Locale_Published";"Published"
"Locale_Approved";"Approved"
"Locale_At the beginning of the list";"At the beginning of the list"
"Locale_After";"After"
"Locale_Advanced Settings";"Advanced Settings"
"Locale_Comments";"Comments"
