"Object_Object";"Object"
"Object_Add New Object";"Add New Object"
"Object_page";"page"
"Object_of";"of"
"Object_Pages";"Pages"
"Object_per page";"per page"
"Object_View";"View"
"Object_Next";"Next"
"Object_records found";"records found"
"Object_Reset Filter";"Reset Filter"
"Object_Search";"Search"
"Object_Category";"Category"
"Object_Title";"Title"
"Object_Name";"Name"
"Object_Label";"Label"
"Object_Show In Menu";"Show In Menu"
"Object_Publish";"Publish"
"Object_Aprrove";"Aprrove"
"Object_Date Created";"Date Created"
"Object_Last Modified";"Last Modified"
"Object_Tools";"Tools"
"Object_Previous";"Previous"
"Object_Next";"Next"
"Object_Object Type";"Object Type"
"Object_Add New Object Type";"Add New Object Type"
"Object_Total";"Total"
"Object_Title";"Title"
"Object_Object Type";"Object Type"
"Object_Label";"Label"
"Object_Information";"Information"
"Object_Advanced";"Advanced"
"Object_Save And Continue Edit";"Save And Continue Edit"
"Object_Save";"Save"
"Object_Reset";"Reset"
"Object_Back";"Back"
"Object_Information";"Information"
"Object_Description";"Description"
"Object_Order";"Order"
"Object_At the beginning of the list";"At the beginning of the list"
"Object_After";"After"
"Object_Catagory";"Catagory"
"Object_Article";"Article"
"Object_Photo";"Photo"
"Object_Video";"Video"
"Object_Source";"Source"
"Object_URL";"URL"
"Object_Static Pages";"Static Pages"
"Object_Tag";"Tag"
"Object_Abuse Type";"Abuse Type"
"Object_Folders";"Folders"
"Object_Files";"Files"
"Object_Advanced";"Advanced"
"Object_Meta Data";"Meta Data"
"Object_Design";"Design"
"Object_Add New Object";"Add New Object"
"Object_Save And Continue Edit";"Save And Continue Edit"
"Object_Save";"Save"
"Object_Reset";"Reset"
"Object_Back";"Back"
"Object_Page Information";"Page Information"
"Object_Title";"Title"
"Object_Alias";"Alias"
"Object_Intro Text";"Intro Text"
"Object_Full Text";"Full Text"
"Object_Source";"Source"
"Object_Created Date";"Created Date"
"Object_Publish From";"Publish From"
"Object_Publish To";"Publish To"
"Object_Source";"Source"
"Object_Taken Date";"Taken Date"
"Object_Taken Location";"Taken Location"
"Object_Upload";"Upload"
"Object_Encoded";"Encoded"
"Object_Description";"Description"
"Object_URL";"URL"
"Object_Locale";"Locale"
"Object_Country";"Country"
"Object_Time Delay";"Time Delay"
"Object_Styel";"Styel"
"Object_URL Type";"URL Type"
"Object_Created Date";"Created Date"
"Object_Category";"Category"
"Object_Tag";"Tag"
"Object_Locale";"Locale"
"Object_Page Title";"Page Title"
"Object_Original Author";"Original Author"
"Object_Show in List";"Show in List"
"Object_Published";"Published"
"Object_Approved";"Approved"
"Object_Options";"Options"
"Object_Comments";"Comments"
"Object_Meta Title";"Meta Title"
"Object_Meta Keywords";"Meta Keywords"
"Object_Meta Description";"Meta Description"
"Object_Meta Data";"Meta Data"
"Object_Layout";"Layout"
"Object_Template";"Template"
"Object_skin";"Skin"
