"Theme_page";"page"
"Theme_Pages";"Pages"
"Theme_View";"View"
"Theme_per page";"per page"
"Theme_Total";"Total"
"Theme_records found";"records found"
"Theme_Reset Filter";"Reset Filter"
"Theme_Search";"Search"
"Theme_Label";"Label"
"Theme_Last Modified";"Last Modified"
"Theme_Tools";"Tools"
"Theme_Previous";"Previous"
"Theme_Next";"Next"
"Theme_Template";"Template"
"Theme_Add New Template";"Add New Template"
"Theme_Label";"Label"
"Theme_Publish";"Publish"
"Theme_Aprrove";"Aprrove"
"Theme_Last Modified";"Last Modified"
"Theme_Tools";"Tools"
"Theme_Skin";"Skin"
"Theme_Add New Skin";"Add New Skin"
"Theme_Layout";"Layout"
"Theme_Add New Layout";"Add New Layout"
"Theme_Themes";"Themes"
"Theme_Information";"Information"
"Theme_Advanced";"Advanced"
"Theme_Add New Theme";"Add New Theme"
"Theme_Save And Continue Edit";"Save And Continue Edit"
"Theme_Save";"Save"
"Theme_Reset";"Reset"
"Theme_Back";"Back"
"Theme_Advanced";"Advanced"
"Theme_Publish From";"Publish From"
"Theme_Publish To";"Publish To"
"Theme_Comments";"Comments"
"Theme_Options";"Options"
"Theme_Skins";"Skins"
"Theme_Direction";"Direction"
"Theme_Default";"Default"
"Theme_Order";"Order"
"Theme_At the beginning of the list";"At the beginning of the list"
"Theme_After";"After"
"Theme_Add New Skin";"Add New Skin"
"Theme_Published";"Published"
"Theme_Approved";"Approved"
"Theme_Add New Layout";"Add New Layout"
"Theme_Direction";"Direction"
