
"User_User";"User"
"User_Add New User";"Add New User"
"User_page";" page "
"User_of";" of "
"User_Pages";" pages "
"User_View";" view "
"User_per page";" per page "
"User_Total";" Total "
"User_records found";" Total Records Found "
"User_Reset Filter";"Cancel"
"User_Search";"Search"
"User_Lable";"Label"
"User_Translation";"Translation"
"User_Last Modified";"Last Modified"
"User_Previous";"Previous"
"User_Next";"Next"
"User_Title";"Title"
"User_Locale";"Locale"
"User_Advanced Settings";"Advanced Settings"
"User_Comments";"Comments"
"User_Username";"Username"
"User_Password";"Password"
"User_Confirm Password";"Confirm Password"
"User_Full Name";"Full Name"
"User_Email";"Email"
"User_User Level";"User Level"
"User_Blocked";"Blocked"
"User_Confirmed";"Confirmed"
"User_Approved";"Approved"
"Object_Date of Birth";"Date of Birth"
"Object_Registeration Date";"Registeration Date"
"User_Company";"Company"
"User_Department";"Department"
"User_Position";"Position"
"User_Home Phone";"Home Phone"
"User_Work Phone";"Work Phone"
"User_Work Fax";"Work Fax"
"User_Mobile";"Mobile"
"User_Options";"Options"
"User_Information";"Information"
"User_Advanced";"Advanced"
"User_Comments";"Comments"
"User_Description";"Description"
"User_Date Added";"Date Added"
"User_Tools";"Tools"
"User_Label";"Label"
"User_Title";"Title"
"User_Delete";"Delete"
"User_Add New User Level";"Add New User Level"
"User_Add New User Level Permission";"Add New User Level Permission"
"User_Save And Continue Edit";"Save And Continue Edit"
"User_Save";"Save"
"User_Reset";"Reset"
"User_Back";"Back"
"User_Approve";"Approve"
"User_Confirm";"Confirm"
"User_Block";"Block"
"User_Level";"User Level"
"User_Class";"Sections"
"User_Action";"Actions"
"User_Permission";"Permissions"

